Date,Open,High,Low,Close,Adj Close,Volume
2017-05-29,0.168230,0.352430,0.146197,0.285542,0.285542,39812170
2017-06-05,0.285023,0.329910,0.176550,0.182229,0.182229,66146350
2017-06-12,0.182321,0.246001,0.144954,0.197482,0.197482,43709120
2017-06-19,0.197917,0.204396,0.158606,0.170223,0.170223,23193580
2017-06-26,0.170003,0.176001,0.112970,0.124109,0.124109,18350490
2017-07-03,0.123965,0.139744,0.097161,0.106766,0.106766,11528450
2017-07-10,0.107231,0.112142,0.066209,0.071781,0.071781,6791319
2017-07-17,0.071688,0.138662,0.071585,0.129342,0.129342,8790442
2017-07-24,0.127953,0.168806,0.100129,0.100651,0.100651,13524517
2017-07-31,0.100739,0.174001,0.097958,0.167751,0.167751,17305810
2017-08-07,0.165905,0.246374,0.151108,0.212219,0.212219,42303270
2017-08-14,0.211863,0.295392,0.174689,0.206131,0.206131,49819840
2017-08-21,0.206389,0.228791,0.172232,0.210028,0.210028,17096220
2017-08-28,0.210025,0.308977,0.204585,0.241242,0.241242,36263210
2017-09-04,0.241998,0.249752,0.168628,0.200025,0.200025,23703280
2017-09-11,0.201248,0.241252,0.137394,0.235859,0.235859,25833900
2017-09-18,0.235858,0.263096,0.185872,0.198249,0.198249,29868410
2017-09-25,0.198387,0.258949,0.197845,0.255647,0.255647,20464990
2017-10-02,0.253671,0.278332,0.186132,0.192375,0.192375,29216420
2017-10-09,0.193164,0.216736,0.152709,0.158654,0.158654,21345970
2017-10-16,0.158907,0.196566,0.133686,0.142390,0.142390,17472600
2017-10-23,0.141987,0.182936,0.130652,0.145832,0.145832,13872940
2017-10-30,0.146109,0.173177,0.127327,0.140744,0.140744,18714740
2017-11-06,0.141019,0.166868,0.115952,0.124914,0.124914,11748950
2017-11-13,0.124678,0.180135,0.123785,0.161358,0.161358,24740660
2017-11-20,0.159930,0.179395,0.152876,0.179284,0.179284,23189170
2017-11-27,0.179267,0.206646,0.140673,0.170244,0.170244,28039180
2017-12-04,0.170007,0.227733,0.155022,0.175097,0.175097,51993260
2017-12-11,0.175378,0.351926,0.174918,0.311358,0.311358,118404650
2017-12-18,0.312227,0.436940,0.219856,0.373256,0.373256,125884620
2017-12-25,0.373529,0.461718,0.322974,0.412203,0.412203,139786200
2018-01-01,0.413187,0.841514,0.391297,0.758233,0.758233,365780500
2018-01-08,0.760422,0.980702,0.587154,0.662359,0.662359,329636100
2018-01-15,0.660657,0.729438,0.350937,0.555487,0.555487,160372400
2018-01-22,0.559888,0.664915,0.463517,0.650049,0.650049,162087500
2018-01-29,0.647782,0.657008,0.326891,0.385504,0.385504,91729840
2018-02-05,0.381815,0.407441,0.231117,0.333647,0.333647,41950220
2018-02-12,0.335346,0.481932,0.335346,0.424600,0.424600,32348420
2018-02-19,0.422276,0.439669,0.332954,0.356711,0.356711,29867820
2018-02-26,0.356728,0.418654,0.328186,0.376859,0.376859,41819650
2018-03-05,0.376595,0.391938,0.229460,0.272858,0.272858,27229710
2018-03-12,0.272000,0.279918,0.156901,0.189207,0.189207,37085750
2018-03-19,0.189039,0.235244,0.184619,0.210988,0.210988,32619520
2018-03-26,0.211551,0.261450,0.174754,0.186136,0.186136,57850030
2018-04-02,0.186898,0.225461,0.179205,0.199976,0.199976,39750620
2018-04-09,0.199381,0.266862,0.183323,0.266862,0.266862,38072250
2018-04-16,0.267449,0.444652,0.259910,0.425449,0.425449,126287560
2018-04-23,0.423968,0.471707,0.380483,0.465133,0.465133,62740630
2018-04-30,0.465091,0.523011,0.419688,0.437427,0.437427,78339940
2018-05-07,0.437753,0.439490,0.317170,0.389423,0.389423,44977880
2018-05-14,0.389918,0.421358,0.344268,0.351259,0.351259,38951760
2018-05-21,0.351664,0.356934,0.271097,0.280541,0.280541,21717670
2018-05-28,0.280487,0.304288,0.246147,0.295790,0.295790,17421750
2018-06-04,0.294376,0.296900,0.221597,0.228183,0.228183,13913750
2018-06-11,0.228179,0.258054,0.187511,0.230407,0.230407,23432990
2018-06-18,0.229953,0.310229,0.228404,0.257319,0.257319,34368500
2018-06-25,0.256403,0.261452,0.198294,0.257420,0.257420,16190900
2018-07-02,0.258049,0.278685,0.236434,0.274485,0.274485,22449190
2018-07-09,0.274015,0.344397,0.238425,0.317168,0.317168,55598600
2018-07-16,0.319275,0.388373,0.302853,0.328241,0.328241,65917900
2018-07-23,0.327859,0.421837,0.298097,0.314980,0.314980,172922080
2018-07-30,0.315306,0.315306,0.246148,0.253875,0.253875,22998580
2018-08-06,0.254198,0.303835,0.199760,0.210934,0.210934,36195620
2018-08-13,0.211339,0.230433,0.156891,0.220856,0.220856,30184600
2018-08-20,0.221571,0.227450,0.192488,0.209004,0.209004,26679040
2018-08-27,0.209355,0.235569,0.206946,0.231729,0.231729,36688650
2018-09-03,0.232020,0.238454,0.151866,0.156566,0.156566,29101070
2018-09-10,0.156667,0.168578,0.131877,0.156902,0.156902,26800320
2018-09-17,0.157095,0.183656,0.140244,0.174988,0.174988,25442160
2018-09-24,0.175257,0.177301,0.151394,0.171174,0.171174,22027100
2018-10-01,0.170991,0.183911,0.163475,0.175539,0.175539,21656910
2018-10-08,0.176204,0.189153,0.155979,0.172347,0.172347,38618570
2018-10-15,0.172617,0.272214,0.169912,0.259686,0.259686,98728960
2018-10-22,0.262781,0.293587,0.242131,0.250345,0.250345,98424420
2018-10-29,0.249942,0.317795,0.228043,0.289806,0.289806,124578740
2018-11-05,0.289999,0.381115,0.250790,0.255775,0.255775,232508900
2018-11-12,0.257557,0.264937,0.183711,0.214474,0.214474,79100440
2018-11-19,0.214858,0.215025,0.125540,0.144664,0.144664,45654050
2018-11-26,0.145143,0.182887,0.131171,0.181796,0.181796,53330448
2018-12-03,0.183725,0.183725,0.122462,0.143979,0.143979,40933118
2018-12-10,0.143813,0.146258,0.122634,0.129093,0.129093,29133088
2018-12-17,0.129369,0.154657,0.127429,0.148753,0.148753,42395033
2018-12-24,0.148721,0.157387,0.128151,0.138512,0.138512,38502444
2018-12-31,0.138579,0.142860,0.127113,0.140803,0.140803,31972132
2019-01-07,0.141259,0.145372,0.120299,0.120674,0.120674,28237603
2019-01-14,0.120755,0.133246,0.119942,0.124779,0.124779,59224990
2019-01-21,0.124730,0.128967,0.120572,0.124241,0.124241,76059993
2019-01-28,0.124917,0.125044,0.109919,0.110797,0.110797,59472615
2019-02-04,0.110990,0.134299,0.101932,0.124895,0.124895,95818101
2019-02-11,0.125080,0.140462,0.118098,0.137783,0.137783,73856216
2019-02-18,0.137668,0.145495,0.127629,0.132111,0.132111,63684984
2019-02-25,0.131663,0.193035,0.130296,0.170575,0.170575,186874791
2019-03-04,0.170604,0.212651,0.160556,0.197483,0.197483,170126220
2019-03-11,0.197616,0.201490,0.184548,0.195199,0.195199,93971934
2019-03-18,0.195215,0.220188,0.190011,0.209909,0.209909,90470047
2019-03-25,0.210041,0.307466,0.200054,0.289596,0.289596,209059847
2019-04-01,0.287359,0.321480,0.272874,0.300154,0.300154,275881162
2019-04-08,0.300265,0.329405,0.261842,0.306749,0.306749,265741129
2019-04-15,0.306749,0.499337,0.290234,0.444291,0.444291,504378495
2019-04-22,0.443613,0.457521,0.365384,0.403177,0.403177,552808802
2019-04-29,0.403393,0.404644,0.348743,0.358949,0.358949,306449907
2019-05-06,0.358790,0.406391,0.275710,0.353620,0.353620,469566884
2019-05-13,0.353620,0.426843,0.338580,0.384338,0.384338,418483370
2019-05-20,0.384495,0.384662,0.326927,0.353908,0.353908,389643639
2019-05-27,0.354014,0.387582,0.323826,0.357814,0.357814,371269886
2019-06-03,0.357652,0.372539,0.312765,0.320448,0.320448,361622587
2019-06-10,0.320104,0.337513,0.311181,0.335986,0.335986,298333676
2019-06-17,0.336212,0.366638,0.315036,0.323773,0.323773,295232157
2019-06-24,0.323773,0.341072,0.275774,0.294920,0.294920,304148189
2019-07-01,0.295181,0.345007,0.290740,0.299855,0.299855,290625482
2019-07-08,0.299475,0.326714,0.249852,0.249876,0.249876,205817861
2019-07-15,0.249743,0.262852,0.202265,0.248900,0.248900,165048746
2019-07-22,0.248961,0.277399,0.223463,0.257962,0.257962,167589094
2019-07-29,0.257567,0.263540,0.231603,0.236309,0.236309,156803810
2019-08-05,0.236404,0.241843,0.197152,0.207989,0.207989,204022479
2019-08-12,0.208032,0.208032,0.166261,0.184715,0.184715,173064681
2019-08-19,0.184786,0.206825,0.169081,0.191669,0.191669,202921214
2019-08-26,0.192009,0.198509,0.169081,0.181692,0.181692,162910786
2019-09-02,0.181527,0.186197,0.164106,0.176179,0.176179,147936473
2019-09-09,0.176198,0.178420,0.165521,0.174199,0.174199,143783832
2019-09-16,0.174205,0.221243,0.173282,0.191992,0.191992,225128073
2019-09-23,0.191885,0.205554,0.147999,0.159298,0.159298,184859517
2019-09-30,0.159273,0.205737,0.153429,0.188637,0.188637,199231533
2019-10-07,0.188162,0.215727,0.185961,0.203310,0.203310,223117199
2019-10-14,0.203310,0.237698,0.200993,0.226761,0.226761,285318217
2019-10-21,0.226668,0.264397,0.214240,0.240090,0.240090,512268382
2019-10-28,0.239841,0.248208,0.222078,0.232455,0.232455,365659626
2019-11-04,0.232398,0.264289,0.228470,0.246648,0.246648,394442184
2019-11-11,0.246867,0.282319,0.237927,0.277868,0.277868,425908261
2019-11-18,0.277790,0.278698,0.195918,0.208225,0.208225,462298726
2019-11-25,0.207822,0.219088,0.192749,0.197244,0.197244,391754066
2019-12-02,0.197394,0.197542,0.181204,0.190088,0.190088,373444970
2019-12-09,0.190093,0.193301,0.173978,0.185314,0.185314,412421334
2019-12-16,0.185160,0.192070,0.149395,0.173439,0.173439,403788057
2019-12-23,0.173448,0.196641,0.162017,0.192579,0.192579,374787412
2019-12-30,0.192722,0.199973,0.180881,0.188898,0.188898,376325812
2020-01-06,0.189163,0.197265,0.182263,0.191303,0.191303,351917787
2020-01-13,0.191220,0.237217,0.187227,0.217673,0.217673,254539720
2020-01-17,0.217559,0.230306,0.214255,0.224439,0.224439,58464388
