Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,5.085890,5.170770,4.154990,4.474730,4.474730,39555425
2014-10-01,4.470960,4.503740,3.480600,3.754000,3.754000,120987520
2014-11-01,3.756660,4.350220,3.480410,3.576090,3.576090,102499340
2014-12-01,3.575590,3.765220,2.667430,2.718930,2.718930,71412500
2015-01-01,2.724210,2.724210,1.113740,1.873500,1.873500,99981256
2015-02-01,1.878780,2.029530,1.679150,1.840730,1.840730,51523802
2015-03-01,1.845760,2.083450,1.611170,1.652600,1.652600,55267985
2015-04-01,1.651030,1.715850,1.304020,1.439840,1.439840,34766786
2015-05-01,1.442850,1.904140,1.383050,1.637080,1.637080,42990806
2015-06-01,1.638560,4.343310,1.593390,4.086760,4.086760,119591644
2015-07-01,4.086000,8.727480,3.299720,4.641040,4.641040,385836650
2015-08-01,4.639080,4.644180,2.543790,2.842070,2.842070,116032840
2015-09-01,2.847420,3.172000,2.579970,3.009780,3.009780,49180300
2015-10-01,3.013900,4.199040,2.955970,3.804330,3.804330,66466263
2015-11-01,3.815090,5.324500,2.942580,3.621220,3.621220,135804380
2015-12-01,3.626080,3.973310,3.303660,3.480170,3.480170,89443960
2016-01-01,3.479520,3.641420,2.919460,3.052160,3.052160,94961890
2016-02-01,3.073430,3.583640,3.037910,3.446110,3.446110,47292165
2016-03-01,3.448350,3.454290,3.132970,3.257070,3.257070,38536977
2016-04-01,3.245750,4.229930,3.198170,3.659750,3.659750,65797878
2016-05-01,3.657500,4.864990,3.638680,4.650390,4.650390,102670010
2016-06-01,4.653290,5.946370,3.466070,4.193500,4.193500,188500720
2016-07-01,4.193490,4.660930,3.930990,4.013820,4.013820,105277610
2016-08-01,4.062910,4.062910,3.519130,3.797440,3.797440,83652350
2016-09-01,3.795630,4.199060,3.760750,3.841600,3.841600,62830982
2016-10-01,3.847760,4.232120,3.745580,3.993960,3.993960,83556300
2016-11-01,3.998600,4.182910,3.691940,3.893790,3.893790,81387580
2016-12-01,3.909450,4.772010,3.327810,4.325290,4.325290,164804910
2017-01-01,4.329120,4.945860,3.613590,4.078640,4.078640,274656140
2017-02-01,4.076040,4.131660,3.698480,3.770990,3.770990,149051010
2017-03-01,3.773060,7.074540,3.729480,6.667060,6.667060,489000048
2017-04-01,6.653160,16.072701,6.311020,15.705600,15.705600,2678262096
2017-05-01,15.708100,37.328602,14.875700,25.297600,25.297600,6499161804
2017-06-01,25.343901,53.550999,25.298201,40.354301,40.354301,13602595200
2017-07-01,40.404099,56.034698,35.941502,43.022701,43.022701,10712661720
2017-08-01,43.019299,72.280701,41.084999,71.055099,71.055099,7363653608
2017-09-01,70.856102,92.065201,32.030998,55.142399,55.142399,15971605168
2017-10-01,55.136200,70.093803,48.472500,55.754101,55.754101,4736077704
2017-11-01,55.740700,104.609001,50.850498,88.330704,88.330704,8610199096
2017-12-01,88.003502,375.286011,83.738297,232.095993,232.095993,50530945632
2018-01-01,231.666000,323.114990,141.007004,163.350998,163.350998,30085834080
2018-02-01,163.682007,253.897995,105.346001,202.895004,202.895004,27811855136
2018-03-01,203.119003,217.763000,110.257004,116.607002,116.607002,16048803040
2018-04-01,116.904999,165.942993,110.523003,148.477005,148.477005,10932448016
2018-05-01,148.343994,182.882996,110.903000,118.073997,118.073997,12636423040
2018-06-01,118.028000,127.367996,73.172699,81.374001,81.374001,9609510096
2018-07-01,81.503998,93.649902,75.310600,79.702301,79.702301,9125914976
2018-08-01,80.390800,80.733498,51.158501,61.925499,61.925499,7670866000
2018-09-01,61.738800,68.977203,47.667500,61.141899,61.141899,9420556000
2018-10-01,61.098598,61.729698,48.321400,49.441502,49.441502,10210349000
2018-11-01,49.562302,56.157101,27.072701,32.064762,32.064762,13203393662
2018-12-01,32.130596,36.558315,22.824781,30.468224,30.468224,14078196942
2019-01-01,30.458393,40.950657,30.127712,31.652176,31.652176,18358801516
2019-02-01,31.719522,53.415829,31.127136,46.237259,46.237259,31826711583
2019-03-01,46.235413,64.109009,45.853374,60.755398,60.755398,55778905661
2019-04-01,60.769836,97.495255,60.413891,74.280876,74.280876,89101457292
2019-05-01,74.303352,120.691711,72.298012,114.536957,114.536957,127061023212
2019-06-01,114.466255,146.434677,99.294312,122.249115,122.249115,136565831039
2019-07-01,122.114136,126.673798,77.497475,98.509575,98.509575,111295958054
2019-08-01,98.566689,105.591286,62.614578,64.576050,64.576050,87453207975
2019-09-01,64.558609,79.655220,51.844608,56.056908,56.056908,96917893034
2019-10-01,56.089233,61.912285,48.495190,58.780685,58.780685,87311520114
2019-11-01,58.746315,64.598618,42.963913,47.475430,47.475430,96575295145
2019-12-01,47.463894,48.301144,36.672943,41.340073,41.340073,88951143813
2020-01-01,41.326534,59.923035,39.450844,57.618256,57.618256,58312155981
2020-01-17,57.605782,60.325748,56.933281,60.215252,60.215252,4693451264
