Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,0.005123,0.005803,0.004540,0.004570,0.004570,2812408
2014-09-22,0.004561,0.005345,0.004511,0.005282,0.005282,2868123
2014-09-29,0.005279,0.005442,0.004635,0.004789,0.004789,1119496
2014-10-06,0.004777,0.004881,0.004699,0.004858,0.004858,1644018
2014-10-13,0.004853,0.004989,0.004720,0.004949,0.004949,1421003
2014-10-20,0.004945,0.005243,0.004525,0.004548,0.004548,1923776
2014-10-27,0.004546,0.004920,0.004534,0.004664,0.004664,1600244
2014-11-03,0.004658,0.004941,0.004652,0.004926,0.004926,2032937
2014-11-10,0.004920,0.005297,0.004873,0.005181,0.005181,2756830
2014-11-17,0.005181,0.008773,0.005181,0.008599,0.008599,5385028
2014-11-24,0.008595,0.015297,0.008362,0.011211,0.011211,18743714
2014-12-01,0.011204,0.014794,0.008105,0.014794,0.014794,12705076
2014-12-08,0.014793,0.017218,0.013190,0.017127,0.017127,10190784
2014-12-15,0.017115,0.028034,0.017096,0.024921,0.024921,29883910
2014-12-22,0.024870,0.025718,0.023160,0.023764,0.023764,11447752
2014-12-29,0.023778,0.024455,0.018828,0.018928,0.018928,9413273
2015-01-05,0.018943,0.020917,0.018755,0.018765,0.018765,9615748
2015-01-12,0.018782,0.022335,0.014113,0.015622,0.015622,11406328
2015-01-19,0.015657,0.017042,0.015651,0.016578,0.016578,7289491
2015-01-26,0.016586,0.017808,0.014088,0.014139,0.014139,9089884
2015-02-02,0.014137,0.015494,0.012983,0.014426,0.014426,7349396
2015-02-09,0.014430,0.015038,0.013566,0.013712,0.013712,5431839
2015-02-16,0.013745,0.014049,0.013080,0.013130,0.013130,3451738
2015-02-23,0.013124,0.013547,0.012142,0.012239,0.012239,5333769
2015-03-02,0.012233,0.012235,0.009760,0.009961,0.009961,13219230
2015-03-09,0.009963,0.011229,0.009963,0.010817,0.010817,7353621
2015-03-16,0.010825,0.011047,0.010122,0.010196,0.010196,7216885
2015-03-23,0.010198,0.010381,0.008464,0.008498,0.008498,4092444
2015-03-30,0.008499,0.008967,0.007564,0.008739,0.008739,4957421
2015-04-06,0.008749,0.009269,0.008264,0.008610,0.008610,4275821
2015-04-13,0.008612,0.008623,0.007841,0.007846,0.007846,2358588
2015-04-20,0.007841,0.008297,0.007684,0.007740,0.007740,3643322
2015-04-27,0.007742,0.008115,0.007607,0.008055,0.008055,3703800
2015-05-04,0.008057,0.008070,0.007374,0.007382,0.007382,4647545
2015-05-11,0.007379,0.007413,0.006329,0.006329,0.006329,3607778
